Day,bitcoin,ethereum,Cryptocurrency
18-03-27,19.00,2.00,4.00
18-03-26,21.00,2.00,4.00
18-03-25,15.00,2.00,3.00
18-03-24,14.00,2.00,3.00
18-03-23,17.00,2.00,4.00
18-03-22,18.00,2.00,4.00
18-03-21,18.00,2.00,4.00
18-03-20,20.00,2.00,5.00
18-03-19,21.00,2.00,5.00
18-03-18,22.00,3.00,6.00
18-03-17,18.00,2.00,4.00
18-03-16,20.00,2.00,4.00
18-03-15,25.00,2.00,6.00
18-03-14,22.00,2.00,6.00
18-03-13,18.00,2.00,5.00
18-03-12,20.00,2.00,5.00
18-03-11,18.00,2.00,4.00
18-03-10,18.00,2.00,4.00
18-03-09,24.00,2.00,6.00
18-03-08,21.00,2.00,5.00
18-03-07,22.00,2.00,6.00
18-03-06,19.00,2.00,5.00
18-03-05,19.00,2.00,5.00
18-03-04,17.00,2.00,4.00
18-03-03,19.00,2.00,4.00
18-03-02,19.00,2.00,5.00
18-03-01,19.00,2.00,5.00
18-02-28,21.00,2.00,5.00
18-02-27,22.00,2.00,5.00
18-02-26,21.00,2.00,5.00
18-02-25,19.00,2.00,5.00
18-02-24,20.00,2.00,5.00
18-02-23,23.00,2.00,6.00
18-02-22,26.00,3.00,7.00
18-02-21,28.00,3.00,8.00
18-02-20,27.00,3.00,7.00
18-02-19,25.00,3.00,6.00
18-02-18,28.00,3.00,6.00
18-02-17,26.00,3.00,6.00
18-02-16,29.00,3.00,6.00
18-02-15,31.00,3.00,7.00
18-02-14,29.00,3.00,7.00
18-02-13,28.00,3.00,7.00
18-02-12,32.00,3.00,7.00
18-02-11,27.00,3.00,6.00
18-02-10,32.00,3.00,7.00
18-02-09,38.00,3.00,7.00
18-02-08,43.00,4.00,8.00
18-02-07,51.00,4.00,9.00
18-02-06,83.00,6.00,13.00
18-02-05,64.00,6.00,12.00
18-02-04,37.00,4.00,9.00
18-02-03,42.00,4.00,8.00
18-02-02,65.00,6.00,14.00
18-02-01,50.00,5.00,12.00
18-01-31,39.00,4.00,9.00
18-01-30,35.00,4.00,10.00
18-01-29,31.00,5.00,9.00
18-01-28,30.00,5.00,9.00
18-01-27,32.00,4.00,9.00
18-01-26,38.00,4.00,9.00
18-01-25,39.00,5.00,9.00
18-01-24,40.00,4.00,9.00
18-01-23,44.00,5.00,10.00
18-01-22,45.00,5.00,11.00
18-01-21,39.00,5.00,11.00
18-01-20,43.00,5.00,11.00
18-01-19,50.00,6.00,12.00
18-01-18,71.00,8.00,15.00
18-01-17,100.00,11.00,22.00
18-01-16,74.00,11.00,25.00
18-01-15,37.00,7.00,13.00
18-01-14,38.00,7.00,13.00
18-01-13,40.00,8.00,14.00
18-01-12,47.00,8.00,16.00
18-01-11,56.00,10.00,19.00
18-01-10,50.00,13.00,19.00
18-01-09,48.00,10.00,18.00
18-01-08,52.00,11.00,20.00
18-01-07,45.00,9.00,19.00
18-01-06,45.00,7.00,18.00
18-01-05,51.00,9.00,20.00
18-01-04,52.00,10.00,22.00
18-01-03,53.00,8.00,18.00
18-01-02,54.00,8.00,16.00
18-01-01,47.00,5.00,12.00
17-12-31,48.00,5.00,12.00
17-12-30,57.00,6.00,16.00
17-12-29,56.00,5.00,13.00
17-12-28,38.00,3.00,7.00
17-12-27,37.00,3.00,7.00
17-12-26,41.00,3.00,7.00
17-12-25,40.00,3.00,7.00
17-12-24,48.00,3.00,7.00
17-12-23,61.00,4.00,9.00
17-12-22,100.00,6.00,13.00
17-12-21,52.00,4.00,9.00
17-12-20,68.00,5.00,10.00
17-12-19,49.00,6.00,10.00
17-12-18,48.00,5.00,9.00
17-12-17,47.00,5.00,8.00
17-12-16,41.00,4.00,7.00
17-12-15,43.00,5.00,8.00
17-12-14,47.00,6.00,9.00
17-12-13,52.00,8.00,10.00
17-12-12,59.00,7.00,10.00
17-12-11,63.00,5.00,6.00
17-12-10,53.00,4.00,6.00
17-12-09,58.00,5.00,7.00
17-12-08,84.00,5.00,7.00
17-12-07,93.00,6.00,7.00
17-12-06,46.00,5.00,6.00
17-12-05,34.00,4.00,5.00
17-12-04,34.00,3.00,5.00
17-12-03,30.00,3.00,4.00
17-12-02,29.00,3.00,4.00
17-12-01,37.00,3.00,4.00
17-11-30,49.00,4.00,5.00
17-11-29,62.00,6.00,6.00
17-11-28,37.00,4.00,4.00
17-11-27,33.00,4.00,4.00
17-11-26,24.00,3.00,3.00
17-11-25,16.00,3.00,3.00
17-11-24,15.00,3.00,2.00
17-11-23,16.00,3.00,3.00
17-11-22,17.00,2.00,3.00
17-11-21,20.00,2.00,3.00
17-11-20,19.00,2.00,3.00
17-11-19,15.00,2.00,2.00
17-11-18,15.00,1.00,2.00
17-11-17,20.00,2.00,2.00
17-11-16,18.00,2.00,2.00
17-11-15,17.00,2.00,2.00
17-11-14,17.00,2.00,2.00
17-11-13,22.00,2.00,2.00
17-11-12,24.00,2.00,2.00
17-11-11,20.00,2.00,2.00
17-11-10,20.00,2.00,2.00
17-11-09,16.00,2.00,2.00
17-11-08,18.00,2.00,2.00
17-11-07,16.00,2.00,2.00
17-11-06,18.00,2.00,2.00
17-11-05,17.00,2.00,2.00
17-11-04,17.00,2.00,2.00
17-11-03,21.00,2.00,2.00
17-11-02,24.00,2.00,2.00
17-11-01,18.00,2.00,2.00
17-10-31,14.00,1.00,2.00
17-10-30,12.00,1.00,2.00
17-10-29,10.00,1.00,2.00
17-10-28,10.00,1.00,1.00
17-10-27,11.00,1.00,2.00
17-10-26,13.00,1.00,2.00
17-10-25,13.00,1.00,2.00
17-10-24,15.00,1.00,2.00
17-10-23,13.00,2.00,2.00
17-10-22,12.00,1.00,2.00
17-10-21,14.00,2.00,2.00
17-10-20,13.00,1.00,2.00
17-10-19,11.00,1.00,2.00
17-10-18,11.00,2.00,2.00
17-10-17,11.00,2.00,2.00
17-10-16,11.00,2.00,2.00
17-10-15,11.00,2.00,2.00
17-10-14,12.00,2.00,2.00
17-10-13,18.00,2.00,2.00
17-10-12,15.00,2.00,2.00
17-10-11,9.00,1.00,2.00
17-10-10,9.00,1.00,2.00
