Date,Open,High,Low,Close,Volume,Market Cap
25-Mar-18,8612.81,8682.01,8449.1,8495.78,4569880000,1.45882E+11
24-Mar-18,8901.95,8996.18,8665.7,8668.12,5664600000,1.50762E+11
23-Mar-18,8736.25,8879.62,8360.62,8879.62,5954120000,1.47941E+11
22-Mar-18,8939.44,9100.71,8564.9,8728.47,5530390000,1.51366E+11
21-Mar-18,8937.48,9177.37,8846.33,8929.28,6043130000,1.51316E+11
20-Mar-18,8619.67,9051.02,8389.89,8913.47,6361790000,1.45922E+11
19-Mar-18,8344.12,8675.87,8182.4,8630.65,6729110000,1.4124E+11
18-Mar-18,7890.52,8245.51,7397.99,8223.68,6639190000,1.33547E+11
17-Mar-18,8321.91,8346.53,7812.82,7916.88,4426150000,1.40834E+11
16-Mar-18,8322.91,8585.15,8005.31,8338.35,5289380000,1.40834E+11
15-Mar-18,8290.76,8428.35,7783.05,8300.86,6834430000,1.40275E+11
14-Mar-18,9214.65,9355.85,8068.59,8269.81,6438230000,1.55891E+11
13-Mar-18,9173.04,9470.38,8958.19,9194.85,5991140000,1.55168E+11
12-Mar-18,9602.93,9937.5,8956.43,9205.12,6457400000,1.62421E+11
11-Mar-18,8852.78,9711.89,8607.12,9578.63,6296370000,1.49716E+11
10-Mar-18,9350.59,9531.32,8828.47,8866,5386320000,1.58119E+11
09-Mar-18,9414.69,9466.35,8513.03,9337.55,8704190000,1.59185E+11
08-Mar-18,9951.44,10147.4,9335.87,9395.01,7186090000,1.68241E+11
07-Mar-18,10803.9,10929.5,9692.12,9965.57,8797910000,1.82631E+11
06-Mar-18,11500.1,11500.1,10694.3,10779.9,6832170000,1.94378E+11
05-Mar-18,11532.4,11704.1,11443.9,11573.3,6468540000,1.94903E+11
04-Mar-18,11497.4,11512.6,11136.1,11512.6,6084150000,1.94289E+11
03-Mar-18,11101.9,11528.2,11002.4,11489.7,6690570000,1.87581E+11
02-Mar-18,10977.4,11189,10850.1,11086.4,7620590000,1.85456E+11
01-Mar-18,10385,11052.3,10352.7,10951,7317280000,1.75427E+11
28-Feb-18,10687.2,11089.8,10393.1,10397.9,6936190000,1.8051E+11
27-Feb-18,10393.9,10878.5,10246.1,10725.6,6966180000,1.75536E+11
26-Feb-18,9669.43,10475,9501.73,10366.7,7287690000,1.63283E+11
25-Feb-18,9796.42,9923.22,9407.06,9664.73,5706940000,1.65407E+11
24-Feb-18,10287.7,10597.2,9546.97,9813.07,6917930000,1.73682E+11
23-Feb-18,9937.07,10487.3,9734.56,10301.1,7739500000,1.67746E+11
22-Feb-18,10660.4,11039.1,9939.09,10005,8040080000,1.79936E+11
21-Feb-18,11372.2,11418.5,10479.1,10690.4,9405340000,1.91927E+11
20-Feb-18,11231.8,11958.5,11231.8,11403.7,9926540000,1.89536E+11
19-Feb-18,10552.6,11273.8,10513.2,11225.3,7652090000,1.78055E+11
18-Feb-18,11123.4,11349.8,10326,10551.8,8744010000,1.87663E+11
17-Feb-18,10207.5,11139.5,10149.4,11112.7,8660880000,1.72191E+11
16-Feb-18,10135.7,10324.1,9824.82,10233.9,7296160000,1.7096E+11
15-Feb-18,9488.32,10234.8,9395.58,10166.4,9062540000,1.60025E+11
14-Feb-18,8599.92,9518.54,8599.92,9494.63,7909820000,1.45023E+11
13-Feb-18,8926.72,8958.47,8455.41,8598.31,5696720000,1.50516E+11
12-Feb-18,8141.43,8985.92,8141.43,8926.57,6256440000,1.37258E+11
11-Feb-18,8616.13,8616.13,7931.1,8129.97,6122190000,1.45245E+11
10-Feb-18,8720.08,9122.55,8295.47,8621.9,7780960000,1.46981E+11
09-Feb-18,8271.84,8736.98,7884.71,8736.98,6784820000,1.39412E+11
08-Feb-18,7637.86,8558.77,7637.86,8265.59,9346750000,1.28714E+11
07-Feb-18,7755.49,8509.11,7236.79,7621.3,9169280000,1.30683E+11
06-Feb-18,7051.75,7850.7,6048.26,7754,13999800000,1.1881E+11
05-Feb-18,8270.54,8364.84,6756.68,6955.27,9285290000,1.39325E+11
04-Feb-18,9175.7,9334.87,8031.22,8277.01,7073550000,1.54553E+11
03-Feb-18,8852.12,9430.75,8251.63,9174.91,7263790000,1.49085E+11
02-Feb-18,9142.28,9142.28,7796.49,8830.75,12726900000,1.53953E+11
