DATE,SP500
1491226200,2363.6101
1491226260,2364.1001
1491226320,2362.6799
1491226380,2364.3101
1491226440,2364.8501
1491226500,2365.6201
1491226560,2365.2
1491226620,2365.29
1491226680,2364.3201
1491226740,2364.6399
1491226800,2364.5801
1491226860,2364.48
1491226920,2365.23
1491226980,2365.6599
1491227040,2365.24
1491227100,2365.3201
1491227160,2364.96
1491227220,2364.3999
1491227280,2364.74
1491227340,2363.9399
1491227400,2363.8799
1491227460,2363.6001
1491227520,2364.04
1491227580,2363.8301
1491227640,2363.8501
1491227700,2363.03
1491227760,2363.25
1491227820,2362.8701
1491227880,2363.03
1491227940,2363.0601
1491228000,2363.9399
1491228060,2363.6101
1491228120,2363.47
1491228180,2363.74
1491228240,2363.4099
1491228300,2362.51
1491228360,2359.95
1491228420,2359.3999
1491228480,2359.52
1491228540,2359.77
1491228600,2357.8799
1491228660,2358.3201
1491228720,2357.97
1491228780,2358.8701
1491228840,2358.9099
1491228900,2359.01
1491228960,2359.1799
1491229020,2359.96
1491229080,2359.9199
1491229140,2359.8101
1491229200,2359.5801
1491229260,2359.9399
1491229320,2360.78
1491229380,2360.46
1491229440,2360.6799
1491229500,2361.73
1491229560,2361.5901
1491229620,2361.8601
1491229680,2361.25
1491229740,2361.3401
1491229800,2361.8899
1491229860,2360.99
1491229920,2360.72
1491229980,2360.5701
1491230040,2360.8301
1491230100,2360.4299
1491230160,2360.24
1491230220,2360.5
1491230280,2360.1899
1491230340,2360.5801
1491230400,2359.1699
1491230460,2359.1699
1491230520,2359.3
1491230580,2359.1101
1491230640,2359.25
1491230700,2359.74
1491230760,2359.79
1491230820,2359.3201
1491230880,2358.75
1491230940,2358.55
1491231000,2356.97
1491231060,2356.6399
1491231120,2355.48
1491231180,2354.4099
1491231240,2354.76
1491231300,2353.9299
1491231360,2353.25
1491231420,2353.8
1491231480,2352.8899
1491231540,2352.21
1491231600,2352.49
1491231660,2353.3401
1491231720,2353.55
1491231780,2353
1491231840,2352.7
1491231900,2351.6399
1491231960,2349.3301
1491232020,2348.1001
1491232080,2348.72
1491232140,2349.3
1491232200,2350.2
1491232260,2349.9399
1491232320,2349.6899
1491232380,2349.26
1491232440,2350.1399
1491232500,2351.9199
1491232560,2351.74
1491232620,2351.23
1491232680,2350.8701
1491232740,2349.8701
1491232800,2349.8301
1491232860,2349.52
1491232920,2350.6201
1491232980,2351.8501
1491233040,2352.1299
1491233100,2351.5901
1491233160,2351.95
1491233220,2351.1899
1491233280,2351.22
1491233340,2351.3601
1491233400,2351.96
1491233460,2351.3501
1491233520,2351.02
1491233580,2351.1201
1491233640,2350.3601
1491233700,2350.03
1491233760,2350.48
1491233820,2350.1001
1491233880,2351.03
1491233940,2350.6499
1491234000,2350.8201
1491234060,2351.01
1491234120,2350.98
1491234180,2350.73
1491234240,2350.73
1491234300,2350.6599
1491234360,2350.03
1491234420,2350.0801
1491234480,2349.75
1491234540,2348.5601
1491234600,2348.45
1491234660,2349.05
1491234720,2349.21
1491234780,2348.1399
1491234840,2348.45
1491234900,2348.01
1491234960,2348.1299
1491235020,2349.23
1491235080,2349.1101
1491235140,2348.5801
1491235200,2348.1001
1491235260,2346.3899
1491235320,2345.78
1491235380,2345.49
1491235440,2346.0901
1491235500,2346.28
1491235560,2345.95
1491235620,2345.9099
1491235680,2347.05
1491235740,2347.1399
1491235800,2347.71
1491235860,2348.1599
1491235920,2347.7
1491235980,2347.54
1491236040,2347.26
1491236100,2347.29
1491236160,2348.6799
1491236220,2349.4099
1491236280,2349.1399
1491236340,2349.0601
1491236400,2348.6799
1491236460,2348.6499
1491236520,2348.9399
1491236580,2349.3301
1491236640,2350.48
1491236700,2350.78
1491236760,2351.1201
1491236820,2351.0901
1491236880,2351.1799
1491236940,2352.24
1491237000,2351.6299
1491237060,2352.01
1491237120,2351.49
1491237180,2351.3701
1491237240,2351.54
1491237300,2351.71
1491237360,2351.8201
1491237420,2352.0901
1491237480,2352.04
1491237540,2352.22
1491237600,2351.8501
1491237660,2352.3999
1491237720,2352.73
1491237780,2352.9299
1491237840,2352.96
1491237900,2352.1001
1491237960,2351.73
1491238020,2352
1491238080,2351.76
1491238140,2352.45
1491238200,2351.75
1491238260,2351.8799
1491238320,2351.6101
1491238380,2351.5
1491238440,2352.0901
1491238500,2352.1201
1491238560,2352.74
1491238620,2352.47
1491238680,2352.54
1491238740,2353.49
1491238800,2352.8201
1491238860,2353.3501
1491238920,2354.02
1491238980,2353.5701
1491239040,2353.8999
1491239100,2353.98
1491239160,2354.01
1491239220,2353.4299
1491239280,2353.1101
1491239340,2352.8899
1491239400,2353.4099
1491239460,2353.47
1491239520,2354.0601
1491239580,2354.4199
1491239640,2354.3401
1491239700,2354.3501
1491239760,2354.4399
1491239820,2354.6001
1491239880,2354.0601
1491239940,2354.05
1491240000,2353.51
1491240060,2353.72
1491240120,2353.76
1491240180,2352.71
1491240240,2353.21
1491240300,2352.8401
1491240360,2352.4399
1491240420,2352.6201
1491240480,2352.8601
1491240540,2352.8799
1491240600,2352.9099
1491240660,2352.02
1491240720,2352.1399
1491240780,2352.03
1491240840,2352.48
1491240900,2352.1899
1491240960,2351.8301
1491241020,2351.6499
1491241080,2350.97
1491241140,2351.29
1491241200,2350.8501
1491241260,2350.52
1491241320,2351.0801
1491241380,2351.1699
1491241440,2350.5801
1491241500,2350.0801
1491241560,2351.1499
1491241620,2352.1001
1491241680,2351.99
1491241740,2351.6699
1491241800,2351.6399
1491241860,2351.7
1491241920,2352.1699
1491241980,2352.23
1491242040,2352.01
1491242100,2352.3501
1491242160,2352.3899
1491242220,2352.28
1491242280,2352.3799
1491242340,2352.6499
1491242400,2353.27
1491242460,2352.53
1491242520,2352.4199
1491242580,2352.6001
1491242640,2352.5801
1491242700,2352.3301
1491242760,2351.97
1491242820,2352.1001
1491242880,2351.79
1491242940,2352.3701
1491243000,2352.04
1491243060,2351.4399
1491243120,2352.1001
1491243180,2352.47
1491243240,2352.6899
1491243300,2351.8301
1491243360,2352
1491243420,2350.73
1491243480,2350.72
1491243540,2351.03
1491243600,2350.9099
1491243660,2350.79
1491243720,2350.71
1491243780,2351.01
1491243840,2351.47
1491243900,2351.8401
1491243960,2351.8501
1491244020,2352.1001
1491244080,2353.29
1491244140,2353.6001
1491244200,2353.8201
1491244260,2353.48
1491244320,2353.95
1491244380,2353.52
1491244440,2353.6001
1491244500,2354.21
1491244560,2354.0701
1491244620,2353.6499
1491244680,2354.21
1491244740,2354.0801
1491244800,2356.0801
1491244860,2356.6499
1491244920,2357.01
1491244980,2357.1299
1491245040,2357.45
1491245100,2357.2
1491245160,2356.7
1491245220,2357.04
1491245280,2357.0701
1491245340,2357.28
1491245400,2357.45
1491245460,2357.1699
1491245520,2356.96
1491245580,2357.4299
1491245640,2357.1001
1491245700,2357.3501
1491245760,2357.2
1491245820,2356.8101
1491245880,2356.8
1491245940,2356.5901
1491246000,2357.79
1491246060,2357.3501
1491246120,2357.3
1491246180,2357.03
1491246240,2357.3201
1491246300,2356.71
1491246360,2356.27
1491246420,2356.6899
1491246480,2356.5601
1491246540,2357.1101
1491246600,2358.1101
1491246660,2358.77
1491246720,2359.01
1491246780,2359.05
1491246840,2359.49
1491246900,2359.25
1491246960,2359.45
1491247020,2359.02
1491247080,2359.51
1491247140,2358.47
1491247200,2358.8101
1491247260,2359.23
1491247320,2359.28
1491247380,2359.3101
1491247440,2360.3
1491247500,2359.1699
1491247560,2359.3501
1491247620,2358.8601
1491247680,2359.1799
1491247740,2359.0801
1491247800,2357.47
1491247860,2357.48
1491247920,2358.1101
1491247980,2357.6699
1491248040,2357.8601
1491248100,2357.74
1491248160,2358.3899
1491248220,2359.02
1491248280,2358.5701
1491248340,2358.5
1491248400,2359.1699
1491248460,2358.7
1491248520,2358.8401
1491248580,2358.3799
1491248640,2359.25
1491248700,2359.3701
1491248760,2359.3301
1491248820,2359.3301
1491248880,2359.4299
1491248940,2359.27
1491249000,2358.52
1491249060,2358.1299
1491249120,2358.1399
1491249180,2358.6799
1491249240,2358.8999
1491249300,2359.1499
1491249360,2359.3501
1491249420,2358.9099
1491249480,2358.8999
1491249540,2358.96
1491249600,2358.96
1491312600,2354.1101
1491312660,2355.55
1491312720,2355.4199
1491312780,2354.8701
1491312840,2354.74
1491312900,2355.55
1491312960,2354.52
1491313020,2354.21
1491313080,2354.95
1491313140,2354.01
1491313200,2355.02
1491313260,2355.5701
1491313320,2356.8601
1491313380,2357.27
1491313440,2356.95
1491313500,2356.9399
1491313560,2357.4299
1491313620,2357.0701
1491313680,2356.3301
1491313740,2356.26
1491313800,2356.27
1491313860,2355.97
1491313920,2355.6201
1491313980,2355.6599
1491314040,2354.98
1491314100,2355.3301
1491314160,2355.9299
1491314220,2355.53
1491314280,2355.7
1491314340,2355.9099
1491314400,2356.1101
1491314460,2354.47
1491314520,2353.4299
1491314580,2352.6799
1491314640,2352.72
1491314700,2352.8601
1491314760,2353.25
1491314820,2353.04
1491314880,2351.3701
1491314940,2351.78
1491315000,2351.22
1491315060,2351.1299
1491315120,2351.53
1491315180,2351.8301
1491315240,2352.23
1491315300,2351.73
1491315360,2352.3101
1491315420,2352.48
1491315480,2352.6599
1491315540,2351.6001
1491315600,2352.52
1491315660,2352.8201
1491315720,2353.0801
1491315780,2353.1399
1491315840,2352.9099
1491315900,2353.1101
1491315960,2352.5601
1491316020,2352.6799
1491316080,2352.3799
1491316140,2353.1399
1491316200,2354.3899
1491316260,2355.3899
1491316320,2355.3701
1491316380,2355.8401
1491316440,2355.23
1491316500,2355.3799
1491316560,2355.4099
1491316620,2355.3999
